# evaluation,mean,std
2.000000000000000000e+00 8.679657074540173545e-01 1.092748190508101847e-01
1.000000000000000000e+01 7.270568665716405921e-01 2.548284101405128288e-01
2.000000000000000000e+01 7.295284405422037821e-01 3.003819293048582972e-01
3.000000000000000000e+01 5.750503169519201041e-01 3.325126811883186151e-01
4.000000000000000000e+01 3.456142670119374261e-01 3.277485617925494643e-01
5.000000000000000000e+01 3.391294702361770663e-01 3.330642818505935021e-01
6.000000000000000000e+01 2.671701181593704177e-01 3.677207458147762065e-01
7.000000000000000000e+01 2.443098567132510335e-01 3.782371694123325967e-01
8.000000000000000000e+01 2.406085282169911077e-01 3.802770739443671055e-01
9.000000000000000000e+01 2.416086399025852705e-01 3.797294104059659170e-01
1.000000000000000000e+02 2.395912393523545736e-01 3.802019356377061010e-01
