# evaluation,mean,std
2.000000000000000000e+00 7.764106372845429593e-01 9.678988379911571127e-02
1.000000000000000000e+01 5.691082734661977449e-01 1.738911646896191543e-01
2.000000000000000000e+01 4.745938543324464409e-01 1.953637724632266426e-01
3.000000000000000000e+01 3.775161232427060032e-01 1.991989335266000360e-01
4.000000000000000000e+01 2.806798812020016576e-01 1.774029348029257103e-01
5.000000000000000000e+01 2.062161887267616733e-01 1.263849679266056680e-01
6.000000000000000000e+01 1.481984589394927665e-01 9.484835992454189457e-02
7.000000000000000000e+01 1.199213273020851706e-01 8.167838296183516089e-02
8.000000000000000000e+01 1.013821165472599400e-01 7.060090170159773193e-02
9.000000000000000000e+01 9.143416396245677980e-02 6.856280908976564170e-02
1.000000000000000000e+02 7.791526688769941089e-02 6.136450484694937896e-02
