# evaluation,mean,std
2.000000000000000000e+00 8.752094934115123293e-01 1.575484786826201189e-01
1.000000000000000000e+01 7.021900799149946026e-01 2.496710036751426109e-01
2.000000000000000000e+01 5.195109658965966215e-01 2.736819379214802117e-01
3.000000000000000000e+01 3.864676521525713948e-01 2.627977283461616631e-01
4.000000000000000000e+01 2.683195019006247017e-01 2.319232419106599385e-01
5.000000000000000000e+01 2.021224312016806357e-01 1.826271428611433434e-01
6.000000000000000000e+01 1.681054695158211987e-01 1.633038510210066963e-01
7.000000000000000000e+01 1.428203068726344727e-01 1.514436827764849558e-01
8.000000000000000000e+01 1.213987603624062106e-01 1.391789179386705155e-01
9.000000000000000000e+01 1.063071434805536175e-01 1.310336145796553997e-01
1.000000000000000000e+02 9.534423154722357352e-02 1.199721665751764116e-01
