# evaluation,mean,std
2.000000000000000000e+00 8.887956307896540675e-01 1.569660269839380229e-01
1.000000000000000000e+01 6.987729096490898906e-01 1.887851236679751465e-01
2.000000000000000000e+01 4.243400425429913470e-01 2.244435349751579822e-01
3.000000000000000000e+01 2.620030800012768668e-01 2.253367525459256948e-01
4.000000000000000000e+01 2.011196226211769134e-01 1.832855501093757777e-01
5.000000000000000000e+01 1.568693822697488638e-01 1.314921977425014266e-01
6.000000000000000000e+01 1.207500090060446840e-01 1.181404190317607156e-01
7.000000000000000000e+01 9.611119450032189204e-02 9.133608931837385037e-02
8.000000000000000000e+01 8.861293941424959464e-02 8.682246174941156414e-02
9.000000000000000000e+01 7.486652283240799455e-02 7.875359357468059152e-02
1.000000000000000000e+02 6.876538187910384570e-02 7.507040258152310186e-02
