# evaluation,mean,std
2.000000000000000000e+00 3.110263244493802759e+01 3.439184899157446740e+00
1.000000000000000000e+01 2.353438451131185261e+01 7.002859424686133316e+00
2.000000000000000000e+01 1.868316750462849640e+01 8.118118546905925825e+00
3.000000000000000000e+01 1.674106421756743757e+01 8.738232717102428992e+00
4.000000000000000000e+01 1.544825200780232777e+01 9.291020496776704718e+00
5.000000000000000000e+01 1.425930628395080468e+01 9.463750428720958396e+00
6.000000000000000000e+01 1.277199391587575228e+01 9.927964007068842633e+00
7.000000000000000000e+01 1.209569534873962837e+01 1.018880787946935484e+01
8.000000000000000000e+01 1.182400367482503434e+01 1.006438019189306665e+01
9.000000000000000000e+01 1.122506804148356174e+01 9.662161203147675792e+00
1.000000000000000000e+02 1.087810944875081276e+01 9.599885958706916966e+00
