# evaluation,mean,std
2.000000000000000000e+00 2.370095004873350675e+00 5.307799338800647249e-01
1.000000000000000000e+01 1.937223531510680941e+00 6.402564747942421919e-01
2.000000000000000000e+01 1.389203451365232933e+00 8.280085574175429786e-01
3.000000000000000000e+01 8.753240913550062174e-01 6.847672868080615372e-01
4.000000000000000000e+01 5.282084840337435416e-01 5.147314224071904976e-01
5.000000000000000000e+01 3.917491583228110419e-01 4.805099323127441369e-01
6.000000000000000000e+01 2.782203534841538040e-01 3.040708447206891263e-01
7.000000000000000000e+01 2.288623419602711928e-01 2.386065015128795430e-01
8.000000000000000000e+01 1.687621114253997634e-01 1.722388078732318972e-01
9.000000000000000000e+01 1.597495883305867226e-01 2.039079372957431913e-01
1.000000000000000000e+02 1.225723778009414483e-01 1.482103763653564721e-01
