# evaluation,mean,std
2.000000000000000000e+00 3.142944247666995139e+01 3.411810249642222903e+00
1.000000000000000000e+01 2.343226060390471943e+01 6.287775792031514044e+00
2.000000000000000000e+01 1.723395791467030946e+01 7.995831814025121886e+00
3.000000000000000000e+01 1.373717858918507773e+01 7.648996710782924424e+00
4.000000000000000000e+01 1.147512202485402533e+01 7.000558836191142831e+00
5.000000000000000000e+01 8.122513534228005483e+00 4.643001795544641652e+00
6.000000000000000000e+01 5.388320295969646345e+00 3.486157774653630970e+00
7.000000000000000000e+01 4.213367411295573461e+00 3.127913108556586774e+00
8.000000000000000000e+01 3.533973901112874128e+00 2.615625570620483842e+00
9.000000000000000000e+01 3.186223529815673583e+00 2.492501049314444383e+00
1.000000000000000000e+02 2.540767339070638453e+00 2.069187599148214041e+00
