# evaluation,mean,std
2.000000000000000000e+00 8.766415956321582659e-01 1.379752214528986720e-01
1.000000000000000000e+01 6.577877619490781758e-01 2.695650608498700862e-01
2.000000000000000000e+01 4.710380496069105916e-01 3.031547270806733141e-01
3.000000000000000000e+01 2.735528015503774779e-01 2.775840702698227358e-01
4.000000000000000000e+01 1.668436922338725481e-01 2.105096243099430775e-01
5.000000000000000000e+01 1.078219701574097411e-01 1.511346720525278686e-01
6.000000000000000000e+01 8.418101603674123246e-02 1.235663035473668764e-01
7.000000000000000000e+01 6.030626517786462359e-02 6.821884061261747345e-02
8.000000000000000000e+01 5.301723139348245989e-02 6.380256302663614432e-02
9.000000000000000000e+01 4.726017781538089518e-02 6.075666234835692264e-02
1.000000000000000000e+02 4.310802080659927732e-02 5.890546789421174240e-02
