# evaluation,mean,std
2.000000000000000000e+00 7.541810965404912581e-01 9.328973012330429859e-02
1.000000000000000000e+01 5.248894120190473744e-01 1.869032122807755825e-01
2.000000000000000000e+01 3.942313954393976139e-01 2.110526217639924484e-01
3.000000000000000000e+01 3.143161725071674795e-01 2.092781548201332609e-01
4.000000000000000000e+01 2.662075469420962515e-01 2.003239004951695434e-01
5.000000000000000000e+01 1.948326423919444772e-01 1.586054621430025569e-01
6.000000000000000000e+01 1.315835680479046088e-01 1.238562338381744010e-01
7.000000000000000000e+01 1.050239791283234525e-01 1.129809428873295440e-01
8.000000000000000000e+01 8.874147318843528254e-02 9.045793092474012365e-02
9.000000000000000000e+01 7.757351266619158525e-02 7.847481111439326418e-02
1.000000000000000000e+02 6.376956541131519052e-02 6.930019695446762440e-02
