# evaluation,mean,std
2.000000000000000000e+00 1.010701765901822924e+00 4.469507255895833753e-01
1.000000000000000000e+01 7.779018469802622127e-01 3.832442504284142015e-01
2.000000000000000000e+01 6.267237200024022847e-01 2.631788760217656509e-01
3.000000000000000000e+01 5.122881761942472689e-01 1.898065228021732498e-01
4.000000000000000000e+01 4.089052356813205891e-01 2.023969139057188171e-01
5.000000000000000000e+01 3.595992828238652184e-01 2.092714441725448404e-01
6.000000000000000000e+01 3.032513585824312963e-01 1.509208621850336995e-01
7.000000000000000000e+01 2.479918193586894970e-01 1.206859113988965754e-01
8.000000000000000000e+01 2.176279224759071207e-01 1.194955950574591724e-01
9.000000000000000000e+01 2.013233729222168589e-01 1.086522991392616239e-01
1.000000000000000000e+02 1.801762779597192721e-01 9.888526771749052424e-02
