X1,X2,X3,X4,Y1,Y2,Y3,Y4,WD,WS,AEP
2.637062178510667873e+05,2.645905568479803624e+05,2.633139360959862242e+05,2.640683130749114789e+05,6.506045354373409413e+06,6.505757099843724631e+06,6.506028655621046200e+06,6.504815427394914441e+06,1.084019621942885152e+02,6.000000000000000000e+00,1.594973832615503850e+00
2.632723125000000000e+05,2.629889062500000000e+05,2.644944062500000000e+05,2.632971875000000000e+05,6.505148000000000000e+06,6.504781500000000000e+06,6.504894500000000000e+06,6.506397500000000000e+06,1.000480957031250000e+02,6.000000000000000000e+00,3.494747725958982643e-01
2.637062187500000000e+05,2.645905625000000000e+05,2.633139375000000000e+05,2.640683125000000000e+05,6.506045500000000000e+06,6.505757000000000000e+06,6.506028500000000000e+06,6.504815500000000000e+06,1.002797317504882812e+02,6.000000000000000000e+00,1.702260140652065434e+00
2.637071562500000000e+05,2.646011250000000000e+05,2.633151875000000000e+05,2.640684062500000000e+05,6.506204000000000000e+06,6.505648000000000000e+06,6.505859000000000000e+06,6.504894500000000000e+06,1.007867431640625000e+02,6.000000000000000000e+00,1.796772433768498933e+00
2.637115625000000000e+05,2.646505312500000000e+05,2.633210312500000000e+05,2.640688437500000000e+05,6.506614000000000000e+06,6.505138000000000000e+06,6.505065500000000000e+06,6.505264500000000000e+06,9.624276733398437500e+01,6.000000000000000000e+00,1.824948512841418236e+00
2.642775937500000000e+05,2.647780000000000000e+05,2.639809687500000000e+05,2.641175937500000000e+05,6.506614000000000000e+06,6.504714000000000000e+06,6.504714000000000000e+06,6.506614000000000000e+06,9.485005187988281250e+01,6.000000000000000000e+00,1.670214547192967025e+00
2.628780000000000000e+05,2.647780000000000000e+05,2.628780000000000000e+05,2.639738750000000000e+05,6.506614000000000000e+06,6.504714000000000000e+06,6.504714000000000000e+06,6.506450000000000000e+06,9.208086395263671875e+01,6.000000000000000000e+00,1.158259014477419191e+00
2.628780000000000000e+05,2.630380000000000000e+05,2.628780000000000000e+05,2.640821250000000000e+05,6.506614000000000000e+06,6.504714000000000000e+06,6.504714000000000000e+06,6.504714000000000000e+06,9.396812438964843750e+01,6.000000000000000000e+00,1.153473919553262839e+00
2.628780000000000000e+05,2.647780000000000000e+05,2.628780000000000000e+05,2.640816250000000000e+05,6.506614000000000000e+06,6.504714000000000000e+06,6.504714000000000000e+06,6.504714000000000000e+06,9.060543823242187500e+01,6.000000000000000000e+00,9.950092910414748415e-01
2.638814062500000000e+05,2.628780000000000000e+05,2.630380312500000000e+05,2.640208437500000000e+05,6.506614000000000000e+06,6.504714000000000000e+06,6.504714000000000000e+06,6.506535500000000000e+06,9.000000000000000000e+01,6.000000000000000000e+00,1.645508166758763657e+00
2.639261562500000000e+05,2.628780000000000000e+05,2.647780000000000000e+05,2.640056562500000000e+05,6.506614000000000000e+06,6.506614000000000000e+06,6.506614000000000000e+06,6.504714000000000000e+06,9.441011047363281250e+01,6.000000000000000000e+00,2.129917017554244563e+00
2.641626250000000000e+05,2.630380000000000000e+05,2.628780000000000000e+05,2.639305625000000000e+05,6.506614000000000000e+06,6.506614000000000000e+06,6.506614000000000000e+06,6.504714000000000000e+06,9.504692077636718750e+01,6.000000000000000000e+00,1.620923187423381151e+00
2.637049687500000000e+05,2.628780000000000000e+05,2.647780000000000000e+05,2.640357812500000000e+05,6.506614000000000000e+06,6.506614000000000000e+06,6.506614000000000000e+06,6.506614000000000000e+06,9.082684326171875000e+01,6.000000000000000000e+00,9.851151252260330615e-01
2.638730312500000000e+05,2.643417187500000000e+05,2.633201875000000000e+05,2.641817187500000000e+05,6.506614000000000000e+06,6.504714000000000000e+06,6.504714000000000000e+06,6.504714000000000000e+06,9.305325317382812500e+01,6.000000000000000000e+00,1.278439664119564112e+00
2.639793750000000000e+05,2.628780000000000000e+05,2.647780000000000000e+05,2.640310625000000000e+05,6.506614000000000000e+06,6.505952000000000000e+06,6.505980000000000000e+06,6.504853500000000000e+06,9.000000000000000000e+01,6.000000000000000000e+00,2.260692124114350054e+00
2.641270937500000000e+05,2.628780000000000000e+05,2.647780000000000000e+05,2.640447812500000000e+05,6.506614000000000000e+06,6.506363500000000000e+06,6.504714000000000000e+06,6.504804000000000000e+06,9.000000000000000000e+01,6.000000000000000000e+00,1.904157444016265854e+00
2.640459687500000000e+05,2.628780000000000000e+05,2.647780000000000000e+05,2.640566875000000000e+05,6.506379000000000000e+06,6.506614000000000000e+06,6.506614000000000000e+06,6.505046500000000000e+06,9.000000000000000000e+01,6.000000000000000000e+00,2.151510956539816277e+00
2.641906250000000000e+05,2.628780000000000000e+05,2.647780000000000000e+05,2.640398125000000000e+05,6.506614000000000000e+06,6.504714000000000000e+06,6.506090000000000000e+06,6.505018000000000000e+06,9.196611022949218750e+01,6.000000000000000000e+00,1.927821446222071744e+00
2.639548750000000000e+05,2.633550625000000000e+05,2.635096562500000000e+05,2.640272187500000000e+05,6.506614000000000000e+06,6.504714000000000000e+06,6.506040000000000000e+06,6.505186000000000000e+06,9.160874938964843750e+01,6.000000000000000000e+00,1.948417381660181302e+00
2.638662500000000000e+05,2.628780000000000000e+05,2.647780000000000000e+05,2.640498750000000000e+05,6.506614000000000000e+06,6.506202500000000000e+06,6.506221500000000000e+06,6.504956000000000000e+06,9.000000000000000000e+01,6.000000000000000000e+00,2.195571962359358587e+00
