# evaluation,mean,std
2.000000000000000000e+00 8.880838342853152323e-01 1.576629358748739829e-01
1.000000000000000000e+01 7.395025926991163345e-01 1.922121908411560387e-01
2.000000000000000000e+01 5.895495179299501398e-01 2.625514027116599425e-01
3.000000000000000000e+01 4.123804779819640887e-01 2.802906907185724883e-01
4.000000000000000000e+01 3.215585189846235648e-01 2.873538022979381101e-01
5.000000000000000000e+01 2.344485269504914815e-01 2.848152403098641039e-01
6.000000000000000000e+01 1.806835722247518428e-01 2.488818739537529134e-01
7.000000000000000000e+01 1.466819132899807587e-01 2.368252213538276640e-01
8.000000000000000000e+01 1.107953117483126415e-01 2.002993863751854620e-01
9.000000000000000000e+01 1.036750012882963479e-01 1.994376336039856146e-01
1.000000000000000000e+02 9.589779515537669163e-02 1.977240066028451149e-01
