# evaluation,mean,std
2.000000000000000000e+00 2.392463766665508196e+00 5.475597001222384241e-01
1.000000000000000000e+01 1.841370789877449621e+00 7.055283160819925126e-01
2.000000000000000000e+01 1.468872001113991521e+00 7.655025972760665098e-01
3.000000000000000000e+01 9.653802537297208053e-01 7.081251891288642408e-01
4.000000000000000000e+01 6.060843042780956758e-01 6.227228729145376507e-01
5.000000000000000000e+01 4.229162001262107284e-01 5.304018700142593135e-01
6.000000000000000000e+01 3.293838618174194655e-01 4.923525189264446600e-01
7.000000000000000000e+01 2.819975664392113113e-01 4.808810548817347708e-01
8.000000000000000000e+01 2.630013972744345563e-01 4.777485700238621735e-01
9.000000000000000000e+01 2.373306535134713235e-01 4.742537775728240534e-01
1.000000000000000000e+02 2.191701283305883263e-01 4.704970196169076524e-01
