# evaluation,mean,std
2.000000000000000000e+00 2.090667848406359663e+00 7.297896489980950641e-01
1.000000000000000000e+01 1.565433333509912428e+00 6.662514074599475977e-01
2.000000000000000000e+01 1.216700464252382430e+00 7.361063178944561303e-01
3.000000000000000000e+01 8.878104175322999447e-01 5.733568158393125280e-01
4.000000000000000000e+01 6.632069153413175933e-01 5.501553148335887045e-01
5.000000000000000000e+01 4.682390724519888692e-01 4.430657706889618574e-01
6.000000000000000000e+01 3.810709052085876625e-01 3.909844261252406472e-01
7.000000000000000000e+01 3.456487798293431113e-01 3.737058294724156515e-01
8.000000000000000000e+01 2.830518025557199890e-01 3.579346291567077620e-01
9.000000000000000000e+01 2.715617837508519372e-01 3.662651497907520870e-01
1.000000000000000000e+02 2.453450771172841494e-01 3.213599039255703449e-01
