# evaluation,mean,std
2.000000000000000000e+00 8.831508044362835763e-01 1.595315902360487648e-01
1.000000000000000000e+01 6.326864811173038561e-01 2.453357698299515055e-01
2.000000000000000000e+01 4.800353201902279876e-01 2.797846198236546011e-01
3.000000000000000000e+01 2.904932987213492690e-01 2.108470637516312585e-01
4.000000000000000000e+01 2.106631975764178266e-01 1.916388758428809735e-01
5.000000000000000000e+01 1.563370704250012788e-01 1.630455691859528100e-01
6.000000000000000000e+01 1.210465617075894146e-01 1.037261422150744933e-01
7.000000000000000000e+01 1.046268911626287157e-01 9.803733470521298898e-02
8.000000000000000000e+01 9.867145402562432777e-02 8.702978854862231106e-02
9.000000000000000000e+01 9.238067192810089923e-02 8.383498328444707881e-02
1.000000000000000000e+02 7.967103401475451874e-02 7.426455268694628908e-02
